instrument,detector,propid,target,RAJ2000,DECJ2000,filter1,filter2,pr_inv,exptime,date-obs,filename
ACS,WFC,12257,ANY,85.864587,-71.587605,CLEAR1L,F814W,Girardi,500,2011-08-16,lmc_fields/ACS/12257_ANY/jbhy21l8q_flc.fits
ACS,WFC,12257,ANY,85.864587,-71.587605,CLEAR1L,F814W,Girardi,500,2011-08-16,lmc_fields/ACS/12257_ANY/jbhy21l8q_flt.fits
ACS,WFC,12257,ANY,85.866874,-71.587111,CLEAR1L,F814W,Girardi,500,2011-08-16,lmc_fields/ACS/12257_ANY/jbhy21lcq_flc.fits
ACS,WFC,12257,ANY,85.866874,-71.587111,CLEAR1L,F814W,Girardi,500,2011-08-16,lmc_fields/ACS/12257_ANY/jbhy21lcq_flt.fits
ACS,WFC,12257,ANY,72.948375,-67.118884,F475W,CLEAR2L,Girardi,500,2011-12-02,lmc_fields/ACS/12257_ANY/jbhy22rdq_flt.fits
ACS,WFC,12257,ANY,72.948889,-67.117986,F475W,CLEAR2L,Girardi,500,2011-12-02,lmc_fields/ACS/12257_ANY/jbhy22rgq_flt.fits
ACS,WFC,12257,ANY,72.948831,-67.117945,CLEAR1L,F814W,Girardi,500,2011-12-02,lmc_fields/ACS/12257_ANY/jbhy22rkq_flt.fits
ACS,WFC,12257,ANY,72.948369,-67.118801,CLEAR1L,F814W,Girardi,500,2011-12-02,lmc_fields/ACS/12257_ANY/jbhy22roq_flt.fits
ACS,WFC,12257,ANY,69.392196,-70.682547,F475W,CLEAR2L,Girardi,500,2011-10-16,lmc_fields/ACS/12257_ANY/jbhy23o1q_flt.fits
ACS,WFC,12257,ANY,69.390745,-70.681762,F475W,CLEAR2L,Girardi,500,2011-10-16,lmc_fields/ACS/12257_ANY/jbhy23o4q_flt.fits
ACS,WFC,12257,ANY,69.390608,-70.681748,CLEAR1L,F814W,Girardi,500,2011-10-16,lmc_fields/ACS/12257_ANY/jbhy23o8q_flt.fits
ACS,WFC,12257,ANY,69.392017,-70.682489,CLEAR1L,F814W,Girardi,500,2011-10-16,lmc_fields/ACS/12257_ANY/jbhy23ocq_flt.fits
ACS,WFC,12257,ANY,79.188820,-69.648342,F475W,CLEAR2L,Girardi,500,2012-01-21,lmc_fields/ACS/12257_ANY/jbhy24e6q_flc.fits
ACS,WFC,12257,ANY,79.188820,-69.648342,F475W,CLEAR2L,Girardi,500,2012-01-21,lmc_fields/ACS/12257_ANY/jbhy24e6q_flt.fits
ACS,WFC,12257,ANY,79.191049,-69.647847,F475W,CLEAR2L,Girardi,500,2012-01-21,lmc_fields/ACS/12257_ANY/jbhy24e9q_flc.fits
ACS,WFC,12257,ANY,79.191049,-69.647847,F475W,CLEAR2L,Girardi,500,2012-01-21,lmc_fields/ACS/12257_ANY/jbhy24e9q_flt.fits
ACS,WFC,12257,ANY,79.191087,-69.647802,CLEAR1L,F814W,Girardi,500,2012-01-21,lmc_fields/ACS/12257_ANY/jbhy24edq_flc.fits
ACS,WFC,12257,ANY,79.191087,-69.647802,CLEAR1L,F814W,Girardi,500,2012-01-21,lmc_fields/ACS/12257_ANY/jbhy24edq_flt.fits
ACS,WFC,12257,ANY,79.188983,-69.648282,CLEAR1L,F814W,Girardi,500,2012-01-21,lmc_fields/ACS/12257_ANY/jbhy24ehq_flc.fits
ACS,WFC,12257,ANY,79.188983,-69.648282,CLEAR1L,F814W,Girardi,500,2012-01-21,lmc_fields/ACS/12257_ANY/jbhy24ehq_flt.fits
ACS,WFC,12257,ANY,92.565097,-71.615149,F475W,CLEAR2L,Girardi,500,2011-11-29,lmc_fields/ACS/12257_ANY/jbhy25kdq_flc.fits
ACS,WFC,12257,ANY,92.565097,-71.615149,F475W,CLEAR2L,Girardi,500,2011-11-29,lmc_fields/ACS/12257_ANY/jbhy25kdq_flt.fits
ACS,WFC,12257,ANY,92.564645,-71.614240,F475W,CLEAR2L,Girardi,500,2011-11-29,lmc_fields/ACS/12257_ANY/jbhy25kgq_flc.fits
ACS,WFC,12257,ANY,92.564645,-71.614240,F475W,CLEAR2L,Girardi,500,2011-11-29,lmc_fields/ACS/12257_ANY/jbhy25kgq_flt.fits
ACS,WFC,12257,ANY,92.564529,-71.614210,CLEAR1L,F814W,Girardi,500,2011-11-29,lmc_fields/ACS/12257_ANY/jbhy25kkq_flc.fits
ACS,WFC,12257,ANY,92.564529,-71.614210,CLEAR1L,F814W,Girardi,500,2011-11-29,lmc_fields/ACS/12257_ANY/jbhy25kkq_flt.fits
ACS,WFC,12257,ANY,92.564995,-71.615073,CLEAR1L,F814W,Girardi,500,2011-11-29,lmc_fields/ACS/12257_ANY/jbhy25koq_flc.fits
ACS,WFC,12257,ANY,92.564995,-71.615073,CLEAR1L,F814W,Girardi,500,2011-11-29,lmc_fields/ACS/12257_ANY/jbhy25koq_flt.fits
ACS,WFC,12257,ANY,82.450206,-66.233799,F555W,CLEAR2L,Girardi,500,2011-08-15,lmc_fields/ACS/12257_ANY/jbhy40ebq_flc.fits
ACS,WFC,12257,ANY,82.450206,-66.233799,F555W,CLEAR2L,Girardi,500,2011-08-15,lmc_fields/ACS/12257_ANY/jbhy40ebq_flt.fits
ACS,WFC,12257,ANY,82.450237,-66.233753,F555W,CLEAR2L,Girardi,500,2011-08-15,lmc_fields/ACS/12257_ANY/jbhy40eeq_flc.fits
ACS,WFC,12257,ANY,82.450237,-66.233753,F555W,CLEAR2L,Girardi,500,2011-08-15,lmc_fields/ACS/12257_ANY/jbhy40eeq_flt.fits
ACS,WFC,12257,ANY,82.452103,-66.233273,CLEAR1L,F814W,Girardi,350,2011-08-15,lmc_fields/ACS/12257_ANY/jbhy40eiq_flc.fits
ACS,WFC,12257,ANY,82.452103,-66.233273,CLEAR1L,F814W,Girardi,350,2011-08-15,lmc_fields/ACS/12257_ANY/jbhy40eiq_flt.fits
ACS,WFC,12257,ANY,82.452000,-66.233305,CLEAR1L,F814W,Girardi,350,2011-08-15,lmc_fields/ACS/12257_ANY/jbhy40emq_flc.fits
ACS,WFC,12257,ANY,82.452000,-66.233305,CLEAR1L,F814W,Girardi,350,2011-08-15,lmc_fields/ACS/12257_ANY/jbhy40emq_flt.fits
ACS,WFC,12257,ANY,77.421712,-67.878272,F555W,CLEAR2L,Girardi,500,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy41sfq_flc.fits
ACS,WFC,12257,ANY,77.421712,-67.878272,F555W,CLEAR2L,Girardi,500,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy41sfq_flt.fits
ACS,WFC,12257,ANY,77.421837,-67.878277,F555W,CLEAR2L,Girardi,500,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy41siq_flc.fits
ACS,WFC,12257,ANY,77.421837,-67.878277,F555W,CLEAR2L,Girardi,500,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy41siq_flt.fits
ACS,WFC,12257,ANY,77.423409,-67.878944,CLEAR1L,F814W,Girardi,350,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy41smq_flc.fits
ACS,WFC,12257,ANY,77.423409,-67.878944,CLEAR1L,F814W,Girardi,350,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy41smq_flt.fits
ACS,WFC,12257,ANY,77.423308,-67.878908,CLEAR1L,F814W,Girardi,350,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy41sqq_flc.fits
ACS,WFC,12257,ANY,77.423308,-67.878908,CLEAR1L,F814W,Girardi,350,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy41sqq_flt.fits
ACS,WFC,12257,ANY,89.526266,-67.354204,F555W,CLEAR2L,Girardi,500,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy42plq_flc.fits
ACS,WFC,12257,ANY,89.526266,-67.354204,F555W,CLEAR2L,Girardi,500,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy42plq_flt.fits
ACS,WFC,12257,ANY,89.526388,-67.354200,F555W,CLEAR2L,Girardi,500,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy42poq_flc.fits
ACS,WFC,12257,ANY,89.526388,-67.354200,F555W,CLEAR2L,Girardi,500,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy42poq_flt.fits
ACS,WFC,12257,ANY,89.528223,-67.354745,CLEAR1L,F814W,Girardi,350,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy42psq_flc.fits
ACS,WFC,12257,ANY,89.528223,-67.354745,CLEAR1L,F814W,Girardi,350,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy42psq_flt.fits
ACS,WFC,12257,ANY,89.528109,-67.354717,CLEAR1L,F814W,Girardi,350,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy42pwq_flc.fits
ACS,WFC,12257,ANY,89.528109,-67.354717,CLEAR1L,F814W,Girardi,350,2011-10-09,lmc_fields/ACS/12257_ANY/jbhy42pwq_flt.fits
ACS,WFC,12257,ANY,74.813586,-66.092641,CLEAR1L,F814W,Girardi,80,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy50syq_flt.fits
ACS,WFC,12257,ANY,74.813586,-66.092641,CLEAR1L,F435W,Girardi,350,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy50szq_flt.fits
ACS,WFC,12257,ANY,74.813586,-66.092641,F555W,CLEAR2L,Girardi,350,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy50t1q_flt.fits
ACS,WFC,12257,ANY,74.813470,-66.092634,F555W,CLEAR2L,Girardi,350,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy50t4q_flt.fits
ACS,WFC,12257,ANY,74.813470,-66.092634,CLEAR1L,F814W,Girardi,300,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy50t8q_flt.fits
ACS,WFC,12257,ANY,74.812104,-66.091912,CLEAR1L,F435W,Girardi,350,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy50tfq_flt.fits
ACS,WFC,12257,ANY,74.812104,-66.091912,CLEAR1L,F814W,Girardi,340,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy50thq_flt.fits
ACS,WFC,12257,ANY,75.622736,-68.085469,CLEAR1L,F814W,Girardi,80,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy51ruq_flc.fits
ACS,WFC,12257,ANY,75.622736,-68.085469,CLEAR1L,F814W,Girardi,80,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy51ruq_flt.fits
ACS,WFC,12257,ANY,75.622736,-68.085469,CLEAR1L,F435W,Girardi,350,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy51rvq_flc.fits
ACS,WFC,12257,ANY,75.622736,-68.085469,CLEAR1L,F435W,Girardi,350,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy51rvq_flt.fits
ACS,WFC,12257,ANY,75.622736,-68.085469,F555W,CLEAR2L,Girardi,350,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy51rxq_flc.fits
ACS,WFC,12257,ANY,75.622736,-68.085469,F555W,CLEAR2L,Girardi,350,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy51rxq_flt.fits
ACS,WFC,12257,ANY,75.622610,-68.085463,F555W,CLEAR2L,Girardi,350,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy51s0q_flc.fits
ACS,WFC,12257,ANY,75.622610,-68.085463,F555W,CLEAR2L,Girardi,350,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy51s0q_flt.fits
ACS,WFC,12257,ANY,75.622610,-68.085463,CLEAR1L,F814W,Girardi,300,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy51s4q_flc.fits
ACS,WFC,12257,ANY,75.622610,-68.085463,CLEAR1L,F814W,Girardi,300,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy51s4q_flt.fits
ACS,WFC,12257,ANY,75.621102,-68.084749,CLEAR1L,F435W,Girardi,350,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy51s6q_flc.fits
ACS,WFC,12257,ANY,75.621102,-68.084749,CLEAR1L,F435W,Girardi,350,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy51s6q_flt.fits
ACS,WFC,12257,ANY,75.621102,-68.084749,CLEAR1L,F814W,Girardi,340,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy51s8q_flc.fits
ACS,WFC,12257,ANY,75.621102,-68.084749,CLEAR1L,F814W,Girardi,340,2011-10-12,lmc_fields/ACS/12257_ANY/jbhy51s8q_flt.fits
ACS,WFC,12257,ANY,73.616311,-69.910985,CLEAR1L,F814W,Girardi,80,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vhq_flc.fits
ACS,WFC,12257,ANY,73.616311,-69.910985,CLEAR1L,F814W,Girardi,80,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vhq_flt.fits
ACS,WFC,12257,ANY,73.616311,-69.910985,CLEAR1L,F435W,Girardi,350,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52viq_flc.fits
ACS,WFC,12257,ANY,73.616311,-69.910985,CLEAR1L,F435W,Girardi,350,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52viq_flt.fits
ACS,WFC,12257,ANY,73.616311,-69.910985,F555W,CLEAR2L,Girardi,350,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vkq_flc.fits
ACS,WFC,12257,ANY,73.616311,-69.910985,F555W,CLEAR2L,Girardi,350,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vkq_flt.fits
ACS,WFC,12257,ANY,73.616175,-69.910977,F555W,CLEAR2L,Girardi,350,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vnq_flc.fits
ACS,WFC,12257,ANY,73.616175,-69.910977,F555W,CLEAR2L,Girardi,350,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vnq_flt.fits
ACS,WFC,12257,ANY,73.616175,-69.910977,CLEAR1L,F814W,Girardi,300,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vrq_flc.fits
ACS,WFC,12257,ANY,73.616175,-69.910977,CLEAR1L,F814W,Girardi,300,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vrq_flt.fits
ACS,WFC,12257,ANY,73.614623,-69.910240,CLEAR1L,F435W,Girardi,350,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vtq_flc.fits
ACS,WFC,12257,ANY,73.614623,-69.910240,CLEAR1L,F435W,Girardi,350,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vtq_flt.fits
ACS,WFC,12257,ANY,73.614623,-69.910240,CLEAR1L,F814W,Girardi,340,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vvq_flc.fits
ACS,WFC,12257,ANY,73.614623,-69.910240,CLEAR1L,F814W,Girardi,340,2011-10-13,lmc_fields/ACS/12257_ANY/jbhy52vvq_flt.fits
ACS,WFC,12581,ANY,85.728742,-69.671222,F475W,CLEAR2L,Roman-Duval,850,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502s1q_flc.fits
ACS,WFC,12581,ANY,85.728742,-69.671222,F475W,CLEAR2L,Roman-Duval,850,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502s1q_flt.fits
ACS,WFC,12581,ANY,85.728742,-69.671222,F475W,CLEAR2L,Roman-Duval,400,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502s6q_flc.fits
ACS,WFC,12581,ANY,85.728742,-69.671222,F475W,CLEAR2L,Roman-Duval,400,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502s6q_flt.fits
ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,550,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502scq_flc.fits
ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,550,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502scq_flt.fits
ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,500,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502shq_flc.fits
ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,500,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502shq_flt.fits
ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,700,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502soq_flc.fits
ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,700,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502soq_flt.fits
ACS,WFC,12581,ANY,85.728742,-69.671222,F475W,CLEAR2L,Roman-Duval,850,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502ssq_flc.fits
ACS,WFC,12581,ANY,85.728742,-69.671222,F475W,CLEAR2L,Roman-Duval,850,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502ssq_flt.fits
ACS,WFC,12581,ANY,85.728742,-69.671222,F475W,CLEAR2L,Roman-Duval,500,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502syq_flc.fits
ACS,WFC,12581,ANY,85.728742,-69.671222,F475W,CLEAR2L,Roman-Duval,500,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502syq_flt.fits
ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,500,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502t4q_flc.fits
ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,500,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502t4q_flt.fits
ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,500,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502taq_flc.fits
ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,500,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502taq_flt.fits
ACS,WFC,12581,ANY,85.728742,-69.671222,F475W,CLEAR2L,Roman-Duval,1,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502tkq_flc.fits
ACS,WFC,12581,ANY,85.728742,-69.671222,F475W,CLEAR2L,Roman-Duval,1,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502tkq_flt.fits
ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,1,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502tvq_flc.fits
ACS,WFC,12581,ANY,85.728742,-69.671222,CLEAR1L,F814W,Roman-Duval,1,2012-10-25,lmc_fields/ACS/12581_ANY/jbp502tvq_flt.fits
ACS,WFC,12581,ANY,85.481345,-69.047000,CLEAR1L,F814W,Roman-Duval,1,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503szq_flc.fits
ACS,WFC,12581,ANY,85.481345,-69.047000,CLEAR1L,F814W,Roman-Duval,1,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503szq_flt.fits
ACS,WFC,12581,ANY,85.481345,-69.047000,CLEAR1L,F814W,Roman-Duval,980,2012-01-25,lmc_fields/ACS/12581_ANY/jbp503t6q_flc.fits
